verdict	leverage	occurrences	fanin	type	java_class	category	source	note
SUGGEST-STRUCT	2	3	0	VtMarkupItemConsideredStatus		graph?	suggest	Java declares VtMarkupItemConsideredStatus as a enum and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
STRUCT	2	2	0	AddressSourceInfo		graph?	promoted	Java declares AddressSourceInfo as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (2 Rust impls notwithstanding)
ENUM	2	2	0	ApplicationLayoutLike		graph?	promoted	small closed set: 5 Java subtypes
GRAPH	2	2	0	BlockGraph		graph?	manual	hierarchy a parser or lowering pass BUILDS dynamically, with operations accruing over time -- OWNERSHIP_MIGRATION.md convention 4 (Kind tag enum + arena + Copy ids). Not ENUM: the question is not whether the set is closed but how values are constructed. Decided 2026-08-09.
STRUCT	2	2	0	ByteTrieNodeIfc		graph?	promoted	inheritance chain, not alternatives: CaseInsensitiveByteTrieNode extend(s) ByteTrieNode. Java subclassing for reuse has no Rust translation -- port ByteTrieNode as a concrete type and let the others embed it
STRUCT	2	2	1222	Category		graph?	promoted	one concrete Java implementer (CategoryDB) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ENUM	2	2	0	ConstructorEntryVisitor		open-extension	promoted	small closed set: 3 Java subtypes
STRUCT	2	2	0	DBCachedObjectStoreEntrySet		graph?	promoted	Java declares DBCachedObjectStoreEntrySet a class with one subclass (DBCachedObjectStoreEntrySubSet) -- inheritance for reuse, not polymorphism; port DBCachedObjectStoreEntrySet as a concrete type and let DBCachedObjectStoreEntrySubSet embed it
ARENA	2	2	0	DBTraceDataSettingsOperations		graph?	promoted	same domain concept with different storage backings (DBTraceDataSettingsAdapter, DBTraceDataSettingsSpace). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
WAIT-PORT	2	2	0	DBTraceOverlaySpaceAdapter		open-extension	derived	Java declares DBTraceOverlaySpaceAdapter as a class with no subtypes, so a concrete type is the right end state -- but DBTraceOverlaySpaceAdapter is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-PORT	2	2	0	FieldFactory		open-extension	derived	Java declares FieldFactory as a class with no subtypes, so a concrete type is the right end state -- but FieldFactory is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-PORT	2	2	0	FlowType		graph?	derived	Java declares FlowType as a class with no subtypes, so a concrete type is the right end state -- but FlowType is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
TODO	2	2	0	GFileSystemLike		graph?	evidence	53 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
ARENA	2	2	0	GhidraClass		graph?	promoted	same domain concept with different storage backings (DBTraceClassSymbol, GhidraClassDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
STRUCT	2	2	0	GhidraFileDataLike		graph?	promoted	Java declares GhidraFileDataLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ACCEPT	2	2	318	InjectPayload		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.
STRUCT	2	2	0	MdQualifiedName		graph?	promoted	Java declares MdQualifiedName as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	2	2	0	MdTemplateNameAndArgumentsLike		graph?	promoted	Java declares MdTemplateNameAndArgumentsLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	2	2	0	ModelRuleLike		graph?	promoted	Java declares ModelRuleLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ARENA	2	2	0	OldFunctionManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ENUM	2	2	0	PcodeInjectLibrary		graph?	promoted	small closed set: 2 Java subtypes
STRUCT	2	2	0	Platform		graph?	promoted	Java declares Platform as a enum and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ARENA	2	2	991	ProgramContext		graph?	promoted	same domain concept with different storage backings (DBTraceProgramViewProgramContext, OldProgramContextDB, ProgramContextImpl, ProgramRegisterContextDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
STRUCT	2	2	0	ProxyObj		graph?	promoted	inheritance chain, not alternatives: ClosedVariableProxy extend(s) VariableProxy. Java subclassing for reuse has no Rust translation -- port VariableProxy as a concrete type and let the others embed it
ACCEPT	2	2	0	ServiceListener		open-extension	family	[family:Listener] Caller-supplied callback -- a genuine open-ended extension point, which OWNERSHIP_MIGRATION.md explicitly carves out for `dyn`.
ACCEPT	2	2	0	ServiceProvider		open-extension	family	[family:Provider] Caller/plugin supplies the implementation (byte sources, component providers, script providers). Open set.
STRUCT	2	2	0	SleighLanguageDescription		graph?	promoted	Java declares SleighLanguageDescription as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	2	2	0	SubtableEntryVisitor		open-extension	promoted	one concrete Java implementer (SubVisitor) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	2	2	101	ToolConnection		graph?	promoted	one concrete Java implementer (ToolConnectionImpl) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ACCEPT	2	2	255	ToolServices		graph?	promoted	ToolServicesAdapter wrap another implementation, so the wrapper genuinely has to hold something polymorphic -- `dyn` (or a generic parameter) is the right tool here, not an enum
ARENA	2	2	0	TraceAddressPropertyManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceBasedDataTypeManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceBookmarkManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceBreakpointManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceCodeManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceEquateManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceMemoryManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceModuleManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceObjectManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TracePlatformManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceReferenceManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceRegisterContextManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceStackManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceStaticMappingManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	2	2	0	TraceTimeManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
SUGGEST-STRUCT	2	2	0	VTMatchInfo		graph?	suggest	inheritance chain, not alternatives: ImpliedMatchWrapperRowObject extend(s) VTImpliedMatchInfo. Java subclassing for reuse has no Rust translation -- port VTImpliedMatchInfo as a concrete type and let the others embed it
SUGGEST-ARENA	2	2	0	VTMatchSet		graph?	suggest	same domain concept with different storage backings (MatchSetImpl, VTMatchSetDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
WAIT-PORT	2	2	0	VTMatchSetDB		graph?	derived	Java declares VTMatchSetDB as a class with no subtypes, so a concrete type is the right end state -- but VTMatchSetDB is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-PORT	2	2	0	VTMatchTagDB		graph?	derived	Java declares VTMatchTagDB as a class with no subtypes, so a concrete type is the right end state -- but VTMatchTagDB is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
SUGGEST-ENUM	1	31	0	End		graph?	suggest	small closed set: 2 Java subtypes
STRUCT	1	24	0	AbstractDomainObjectListenerBuilder		closed-hierarchy?	promoted	Java declares AbstractDomainObjectListenerBuilder a class with one subclass (DomainObjectListenerBuilder) -- inheritance for reuse, not polymorphism; port AbstractDomainObjectListenerBuilder as a concrete type and let DomainObjectListenerBuilder embed it
STRUCT	1	12	0	ApplicationModuleLike		graph?	promoted	Java declares ApplicationModuleLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ITER	1	10	253	DBFieldIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.
STRUCT	1	9	0	IndexField		graph?	promoted	Java declares IndexField a type with one subclass (LegacyIndexField) -- inheritance for reuse, not polymorphism; port IndexField as a concrete type and let LegacyIndexField embed it
TODO	1	9	0	TraceEvent		graph?	evidence	53 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
STRUCT	1	9	0	TraceModule		graph?	promoted	one concrete Java implementer (DBTraceModule) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
TODO	1	8	1235	Array		graph?	evidence	Java declares Array as an interface with no in-tree implementers -- either an extension point (-> ACCEPT) or its implementers are unported; the count cannot tell which
STRUCT	1	8	0	AsyncReferenceLike		graph?	promoted	Java declares AsyncReferenceLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	8	0	FileSystemInfoRec		graph?	promoted	Java declares FileSystemInfoRec as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ARENA	1	7	614	Equate		graph?	promoted	same domain concept with different storage backings (DBTraceProgramViewEquate, EquateDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
STRUCT	1	7	0	ErrorLogger		graph?	promoted	inheritance chain, not alternatives: MinimalErrorLogger extend(s) DefaultErrorLogger. Java subclassing for reuse has no Rust translation -- port DefaultErrorLogger as a concrete type and let the others embed it
WAIT-PORT	1	6	0	ByteField		graph?	derived	Java declares ByteField as a class with no subtypes, so a concrete type is the right end state -- but ByteField is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-PORT	1	6	0	DBCachedObjectStoreSubMap		graph?	derived	Java declares DBCachedObjectStoreSubMap as a class with no subtypes, so a concrete type is the right end state -- but DBCachedObjectStoreSubMap is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-PORT	1	6	0	DBTraceMemorySpace		graph?	derived	Java declares DBTraceMemorySpace as a class with no subtypes, so a concrete type is the right end state -- but DBTraceMemorySpace is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	1	6	0	DBTraceSettingsEntry		graph?	promoted	Java declares DBTraceSettingsEntry as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
STRUCT	1	6	0	ExpressionOperator		graph?	promoted	Java declares ExpressionOperator as a enum and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	6	0	FileSystemRef		graph?	promoted	Java declares FileSystemRef as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	6	0	PcodeOpAst		graph?	promoted	Java declares PcodeOpAst as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
TODO	1	6	0	PcodeStateModifier		graph?	evidence	no Java type named PcodeStateModifier -- an abstraction the port invented, so Java says nothing about its shape
ARENA	1	6	0	TraceData		graph?	promoted	same domain concept with different storage backings (DBTraceData, DBTraceDataArrayElementComponent, DBTraceDataCompositeFieldComponent, UndefinedDBTraceData). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
TODO	1	5	0	ByteProviderLike		graph?	evidence	23 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
STRUCT	1	5	0	Edge		graph?	promoted	Java declares Edge as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	5	0	ExtensionsLike		graph?	promoted	Java declares ExtensionsLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (2 Rust impls notwithstanding)
WAIT-PORT	1	5	0	FragmentDB		graph?	derived	Java declares FragmentDB as a class with no subtypes, so a concrete type is the right end state -- but FragmentDB is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
TODO	1	5	0	SpecVisitor		open-extension	evidence	no Java type named SpecVisitor -- an abstraction the port invented, so Java says nothing about its shape
STRUCT	1	5	0	TimerCallback		open-extension	promoted	one concrete Java implementer (ExpiringTimerCallback) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ENUM	1	5	0	ValueMapLike		graph?	promoted	small closed set: 2 Java subtypes
ARENA	1	4	0	AttributeManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
STRUCT	1	4	0	BooleanChangeAdapter		open-extension	promoted	Java declares BooleanChangeAdapter a type with one subclass (ToToggleSelectionListener) -- inheritance for reuse, not polymorphism; port BooleanChangeAdapter as a concrete type and let ToToggleSelectionListener embed it
SUGGEST-ENUM	1	4	0	CTokenHighlightMatcher		graph?	suggest	small closed set: 7 Java subtypes
STRUCT	1	4	0	ConstructorLike		graph?	promoted	Java declares ConstructorLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ITER	1	4	0	DBLongIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.
ITER	1	4	0	DataIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.
SUGGEST-STRUCT	1	4	0	DecompilerHighlighter		graph?	suggest	inheritance chain, not alternatives: DiffTokenHighlighter extend(s) BasicTokenHighlighter. Java subclassing for reuse has no Rust translation -- port BasicTokenHighlighter as a concrete type and let the others embed it
TODO	1	4	0	ExpressionValueLike		graph?	evidence	Java declares ExpressionValueLike as an interface with no in-tree implementers -- either an extension point (-> ACCEPT) or its implementers are unported; the count cannot tell which
ARENA	1	4	139	Group		graph?	promoted	same domain concept with different storage backings (DBTraceProgramViewFragment, DBTraceProgramViewRootModule, FragmentDB, ModuleDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
WAIT-PORT	1	4	0	KeyBindingData		graph?	derived	Java declares KeyBindingData as a class with no subtypes, so a concrete type is the right end state -- but KeyBindingData is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	1	4	0	LoadSpecLike		graph?	promoted	Java declares LoadSpecLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
WAIT-PORT	1	4	0	ModuleDB		graph?	derived	Java declares ModuleDB as a class with no subtypes, so a concrete type is the right end state -- but ModuleDB is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
ACCEPT	1	4	0	PcodeStateInitializer		graph?	promoted	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (1 concrete implementers)
STRUCT	1	4	0	PseudoInstructionLike		graph?	promoted	Java declares PseudoInstructionLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	4	0	SectionMapProposal		graph?	promoted	one concrete Java implementer (DefaultSectionMapProposal) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	1	4	0	TraceMemorySpace		graph?	promoted	one concrete Java implementer (DBTraceMemorySpace) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ARENA	1	4	0	TraceObjectValueStorage		graph?	promoted	same domain concept with different storage backings (DBTraceObjectValueBehind, DBTraceObjectValueData). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
SUGGEST-ENUM	1	4	0	VtMatchSet		graph?	suggest	small closed set: 2 Java subtypes
STRUCT	1	4	0	Writer		graph?	promoted	null-object pattern: NullWriter exist(s) only to stand in for 'no Writer'. Rust spells that `Option<Writer>` -- port LineArrayListWriter as the concrete type and delete the placeholder variant
WAIT-PORT	1	3	0	ActionTrigger		graph?	derived	Java declares ActionTrigger as a class with no subtypes, so a concrete type is the right end state -- but ActionTrigger is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
WAIT-STUB	1	3	0	Class		graph?	derived	no Java type named Class, and it is a seam_stubs.rs placeholder -- a compile-time stand-in, not an abstraction anyone designed. Its shape is decided when the stub is retired (STUB_DEBT.tsv), not here
ENUM	1	3	0	Constraint		graph?	promoted	small closed set: 4 Java subtypes
STRUCT	1	3	0	ContextEvaluator		graph?	promoted	inheritance chain, not alternatives: ConstantPropagationContextEvaluator extend(s) ContextEvaluatorAdapter. Java subclassing for reuse has no Rust translation -- port ContextEvaluatorAdapter as a concrete type and let the others embed it
WAIT-PORT	1	3	0	ControlMode		graph?	derived	Java declares ControlMode as a enum with no subtypes, so a concrete type is the right end state -- but ControlMode is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
ENUM	1	3	0	CustomOption		graph?	promoted	small closed set: 8 Java subtypes
STRUCT	1	3	0	DBTraceData		graph?	promoted	Java declares DBTraceData as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
ARENA	1	3	0	DBTraceDefinedDataAdapter		open-extension	promoted	same domain concept with different storage backings (DBTraceData, DBTraceDataArrayElementComponent, DBTraceDataCompositeFieldComponent). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
ARENA	1	3	0	DBTraceSymbolManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
ARENA	1	3	0	DBTraceThreadManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.
SUGGEST-ENUM	1	3	0	DebugSignature		graph?	suggest	small closed set: 3 Java subtypes
STRUCT	1	3	0	Dimension		graph?	promoted	inheritance chain, not alternatives: HorizontalMajorDimension, VerticalMajorDimension extend(s) PositionableDimension. Java subclassing for reuse has no Rust translation -- port PositionableDimension as a concrete type and let the others embed it
ACCEPT	1	3	0	EmulatorFactory		open-extension	promoted	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (3 concrete implementers)
WAIT-STUB	1	3	0	Font		graph?	derived	no Java type named Font, and it is a seam_stubs.rs placeholder -- a compile-time stand-in, not an abstraction anyone designed. Its shape is decided when the stub is retired (STUB_DEBT.tsv), not here
TODO	1	3	0	IndexScrollListenerAdapter		open-extension	evidence	no Java type named IndexScrollListenerAdapter -- an abstraction the port invented, so Java says nothing about its shape
TODO	1	3	0	JarFileAccess		graph?	evidence	no Java type named JarFileAccess -- an abstraction the port invented, so Java says nothing about its shape
TODO	1	3	0	LazyInner		graph?	evidence	LazyInner is already a concrete type (1 declaration(s)), not a trait -- it is here because a shared cell (Rc<RefCell<LazyInner>> / Arc<Mutex<LazyInner>>) reaches it. That is an ownership question (OWNERSHIP_MIGRATION.md conventions 1 and 3: arena + typed Copy ID, or snapshot+transaction for DB objects), not a trait convention, so no verdict in this queue answers it
ENUM	1	3	0	LocationTrackingSpec		graph?	promoted	small closed set: 6 Java subtypes
ENUM	1	3	0	LongKeyNode		graph?	promoted	small closed set: 3 Java subtypes
STRUCT	1	3	0	ModuleMapProposal		graph?	promoted	one concrete Java implementer (DefaultModuleMapProposal) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
TODO	1	3	0	OpBehaviorOther		graph?	evidence	62 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
STRUCT	1	3	0	OptionLike		graph?	promoted	Java declares OptionLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
WAIT-PORT	1	3	0	OptionType		graph?	derived	Java declares OptionType as a enum with no subtypes, so a concrete type is the right end state -- but OptionType is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	1	3	0	PcodeOpEntryVisitor		open-extension	promoted	one concrete Java implementer (DumpPcodeOps) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	1	3	0	ProgramAddressFactory		open-extension	promoted	Java declares ProgramAddressFactory a class with one subclass (TraceAddressFactory) -- inheritance for reuse, not polymorphism; port ProgramAddressFactory as a concrete type and let TraceAddressFactory embed it
STRUCT	1	3	0	PropertyEditor		graph?	promoted	null-object pattern: NoRegisteredEditorPropertyEditor exist(s) only to stand in for 'no PropertyEditor'. Rust spells that `Option<PropertyEditor>` -- port ScriptPathsPropertyEditor as the concrete type and delete the placeholder variant
STRUCT	1	3	0	RegionMapProposal		graph?	promoted	one concrete Java implementer (DefaultRegionMapProposal) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
WAIT-PORT	1	3	0	SchemaBuilder		graph?	derived	Java declares SchemaBuilder as a class with no subtypes, so a concrete type is the right end state -- but SchemaBuilder is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	1	3	0	SleighParserContext		graph?	promoted	Java declares SleighParserContext as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	3	0	SourceLanguageId		graph?	promoted	Java declares SourceLanguageId as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
STRUCT	1	3	0	SpatialMap		graph?	promoted	inheritance chain, not alternatives: DBTraceCommentAdapter, DBTraceDataSettingsAdapter extend(s) DBTraceAddressSnapRangePropertyMap. Java subclassing for reuse has no Rust translation -- port DBTraceAddressSnapRangePropertyMap as a concrete type and let the others embed it
STRUCT	1	3	0	StateEditor		graph?	promoted	inheritance chain, not alternatives: DefaultStateEditor, FollowsManagerStateEditor, FollowsViewStateEditor extend(s) AbstractStateEditor. Java subclassing for reuse has no Rust translation -- port AbstractStateEditor as a concrete type and let the others embed it
STRUCT	1	3	7	SubtableSymbol	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/symbol/SubtableSymbol.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/symbol/SubtableSymbol.java: shape_rules R14-concrete-class says struct
STRUCT	1	3	7	SubtableSymbol	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghsymbol/SubtableSymbol.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghsymbol/SubtableSymbol.java: shape_rules R14-concrete-class says struct
STRUCT	1	3	0	TraceReferenceSpace		graph?	promoted	one concrete Java implementer (DBTraceReferenceSpace) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
WAIT-STUB	1	3	0	TwoWayBreakdownFactory		open-extension	derived	no Java type named TwoWayBreakdownFactory, and it is a seam_stubs.rs placeholder -- a compile-time stand-in, not an abstraction anyone designed. Its shape is decided when the stub is retired (STUB_DEBT.tsv), not here
ENUM	1	3	0	ValueSortedMap		graph?	promoted	small closed set: 2 Java subtypes
STRUCT	1	3	0	ValueStoragePage		graph?	promoted	Java declares ValueStoragePage as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	1	3	7	ValueSymbol	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/symbol/ValueSymbol.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/symbol/ValueSymbol.java: shape_rules R14-concrete-class says struct
